,Shop Name,WhatsApp Number,Area / Locality,Zone
103,Agrawal Kirana & Genral Store,7014667431.0,Pratap Nagar Murlipura,Jhotwara / Murlipura
305,Agrawal Kirana & Genral Store,7014667431.0,Pratap Nagar Murlipura,Jhotwara / Murlipura
102,Amit Computers,9983756202.0,Bandhu Nagar Murlipura,Jhotwara / Murlipura
128,Amit Computers,9983756202.0,Bandhu Nagar Murlipura,Jhotwara / Murlipura
59,Arun Kirana Store,9413981918.0,Central Colony VKI Road No. 9,Amer / Periphery / Ajmer Road
185,Arun Kirana Store,9413981918.0,Central Colony VKI Road No. 9,Amer / Periphery / Ajmer Road
152,Garima General Store,9928586050.0,Ambabari Keshav Path Jhotwara Road,Jhotwara / Murlipura
200,Garima General Store,9928586050.0,Ambabari Keshav Path Jhotwara Road,Jhotwara / Murlipura
192,Goyal Kirana Store,9950901436.0,Hanutpura Amarsal,Amer / Periphery / Ajmer Road
493,Goyal Kirana Store,9950901436.0,Hanutpura Amarsal,Amer / Periphery / Ajmer Road
206,Saini Dhaba,9024291184.0,Ajmer bypass Road No 14 Anaj Mandi,Amer / Periphery / Ajmer Road
267,Saini Dhaba,9024291184.0,Ajmer bypass Road No 14 Anaj Mandi,Amer / Periphery / Ajmer Road
194,Sharma Kirana Store,9649358263.0,New Colony Vidhyadhar Nagar,Vaishali Nagar / Mansarovar
335,Sharma Kirana Store,9649358263.0,New Colony Vidhyadhar Nagar,Vaishali Nagar / Mansarovar
219,Shri Gokul Dairy,9828276705.0,Shop No. 82 Shoping Center Ambabari,Amer / Periphery / Ajmer Road
417,Shri Gokul Dairy,9828276705.0,Shop No. 82 Shoping Center Ambabari,Amer / Periphery / Ajmer Road
76,Shyam Kirana & Genral Store,9602939393.0,Behind Sun & Moon Tower Sikar Road,Amer / Periphery / Ajmer Road
126,Shyam Kirana & Genral Store,9602939393.0,Behind Sun & Moon Tower Sikar Road,Amer / Periphery / Ajmer Road
