Sr. No.,Data Source,Shop Name,Contact / Owner,WhatsApp Number,Area / Locality,Zone,Store Type,Years Operating,Has Refrigerator,ADA / Distributor,Brands Stocked,Stocks Amul C&T,Aware of Amul C&T,Why Not Stocking C&T,C&T SKU Mix (80g / 180g / 850g),C&T Estimated Packs / Week,Amul Masti Dahi Packs / Week (est.),Pack Sizes Most in Demand,Packaging Format Preferred,#1 Selling Dahi Brand at Store,"Brand Ranking (brands stocked, by volume)",Amul Dahi Sales Change vs 1 Year Ago,Primary Reason Customers Choose Competitor,Customers Ask for Amul Dahi by Name,Customers Ask for Other Brand by Name,Margin on Amul Dahi (from price list),Best Trade Promotions Brand,Branded Display / Fridge Provided By,Best Rep Visits Brand,Best Shelf Life / Freshness Brand,Preferential Shelf Placement Brand,Biggest 6-Month Growth Brand,Trade Promotions Received on Amul Dahi,Amul Rep Visit Frequency,Customer Complaints About Amul Dahi,Customer Feedback on Amul C&T Specifically,Suggested Changes / Improvements for Amul,Other Feedback for Amul,Timestamp,zone_clean,store_type_clean,years_operating_clean,fridge_type,awareness_tier,rep_visit_clean,promo_received_clean,stocks_ct,pack_format_clean,phone_clean,phone_valid,feat_refrigerator_flag,feat_dedicated_fridge,feat_awareness_score,feat_rep_visit_score,feat_promo_bonus,feat_engagement_score,feat_infrastructure_score,feat_competitor_presence,feat_frubon_threat_score,feat_ct_weekly_volume,feat_masti_weekly_volume,feat_years_operating_num,feat_adoption_likelihood,nlp_complaints,nlp_ct_feedback,nlp_suggestions,nlp_other_feedback,nlp_why_not_stocking,nlp_full_corpus
1,Primary Field Survey,Nita Dept Store,,,C Scheme Mission Compound,C-Scheme / Bani Park / Civil Lines,Kiryana/General store,2–5 years,"Yes, shared fridge",,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup), Mother Dairy Curd",No,"No, not aware at all",No customer demand/enquiry,,,20–50 packs/week,"80g / 180g (small cup, single use), 400–500g (medium, family meal)","Cup/tub (convenient, resealable)",Amul_Masti Dahi,#1: Amul Masti Dahi,Increased slightly,Price,"Yes, sometimes",,Amul Masti Dahi: 5–10%,Frubon,,Frubon,Amul,"Amul (Eye Level, Front Of Fridge)",Amul,"No, never",Fortnightly,No complaints generally,Never heard of it,Smaller affordable SKU,Margin increase needed,2026-04-07 17:29:05,C_Scheme,Kiryana,2_5yrs,shared,unaware,fortnightly,never,False,cup,,False,1,0,0,3,0,3,1,1,3,0,35,2,3.25,no complaints generally,never heard of it,smaller affordable sku,margin increase needed,no customer demand/enquiry,no complaints generally | never heard of it | smaller affordable sku | margin increase needed | no customer demand/enquiry
2,Primary Field Survey,Giridhar Ice Cream Parlor,,,,Amer / Periphery / Ajmer Road,Dairy booth / Parlour,2–5 years,"Yes, shared fridge",,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup)",No,"No, not aware at all",No customer demand/enquiry,,,50–100 packs/week,"80g / 180g (small cup, single use), 800g–1kg (Masti Dahi large pack)","Cup/tub (convenient, resealable)",Amul_Masti Dahi,#1: Amul Masti Dahi,Increased slightly,Price,"Yes, sometimes",,Amul Masti Dahi: 5–10%,Frubon,,Frubon,Amul,"Amul (Eye Level, Front Of Fridge)",Amul,"No, never",Monthly,"Curd is too sour, Not thick enough, Water/whey separation in pouch",No,"Consumer-facing offers/free trials, More advertising in Jaipur",no_data,2026-04-09 12:26:34,Amer_Periphery,Dairy_Parlour,2_5yrs,shared,unaware,monthly,never,False,cup,,False,1,0,0,2,0,2,1,1,3,0,75,2,2.92,"curd is too sour, not thick enough, water/whey separation in pouch",no,"consumer-facing offers/free trials, more advertising in jaipur",no_data,no customer demand/enquiry,"curd is too sour, not thick enough, water/whey separation in pouch | no | consumer-facing offers/free trials, more advertising in jaipur | no customer demand/enquiry"
3,Primary Field Survey,Dj Paneer House,,9351085134.0,Mansarovar,Vaishali Nagar / Mansarovar,Kiryana/General store,2–5 years,"Yes, shared fridge",Pooja Entreprises,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup)",No,"No, not aware at all","No customer demand/enquiry, Other (specify)",,,50–100 packs/week,"80g / 180g (small cup, single use), 400–500g (medium, family meal)","Cup/tub (convenient, resealable)",Amul_Masti Dahi,#1: Amul Masti Dahi,Increased slightly,Thickness/texture preference,"Yes, sometimes",,Amul Masti Dahi: 5–10%,Frubon,,Frubon And Mother_Dairy,Amul,"Amul (Eye Level, Front Of Fridge)",Yes Amul,"No, never",Monthly,"Curd is too sour, Not thick enough, Water/whey separation in pouch, Packaging leaks or breaks",Too thin texture and no demand,"Better margins, Consumer-facing offers/free trials, More advertising in Jaipur, Better packaging that prevents leaks",More promotions for retailers and avoid leakages and avoid sour taste and improve watery texture,2026-04-09 12:46:09,Vaishali_Mansarovar,Kiryana,2_5yrs,shared,unaware,monthly,never,False,cup,93510851340,False,1,0,0,2,0,2,1,1,3,0,75,2,2.92,"curd is too sour, not thick enough, water/whey separation in pouch, packaging leaks or breaks",too thin texture and no demand,"better margins, consumer-facing offers/free trials, more advertising in jaipur, better packaging that prevents leaks",more promotions for retailers and avoid leakages and avoid sour taste and improve watery texture,"no customer demand/enquiry, other (specify)","curd is too sour, not thick enough, water/whey separation in pouch, packaging leaks or breaks | too thin texture and no demand | better margins, consumer-facing offers/free trials, more advertising in jaipur, better packaging that prevents leaks | more promotions for retailers and avoid leakages and avoid sour taste and improve watery texture | no customer demand/enquiry, other (specify)"
4,Primary Field Survey,Krishna Bakery,,8824975648.0,Mansarovar,Vaishali Nagar / Mansarovar,Bakery / Convenience,2–5 years,"Yes, shared fridge",Pooja Entreprises,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup), Amul Dahi Creamy & Tasty",Yes,"Yes, I stock it",,"80g Cup, 180g Cup, 850g Pouch",,20–50 packs/week,"80g / 180g (small cup, single use), 850g (large family pack)","Cup/tub (convenient, resealable)",Amul_Masti Dahi,#1: Amul Masti Dahi,Increased slightly,Price,"Yes, sometimes",,"Amul C&T: 80g=24%, 180g=30%, 850g=6.8% | Masti: 5–10%",Frubon,,Frubon,Amul,"Amul (Eye Level, Front Of Fridge)",Amul Dahi Creamy And Tasty,"No, never",Monthly,Curd is too sour,"Customers like the cup format, good taste","Consumer-facing offers/free trials, More advertising in Jaipur",Sometimes watery and sour curd,2026-04-09 12:58:01,Vaishali_Mansarovar,Bakery,2_5yrs,shared,stocking,monthly,never,True,cup,88249756480,False,1,0,3,2,0,2,1,1,3,0,35,2,6.42,curd is too sour,"customers like the cup format, good taste","consumer-facing offers/free trials, more advertising in jaipur",sometimes watery and sour curd,no_data,"curd is too sour | customers like the cup format, good taste | consumer-facing offers/free trials, more advertising in jaipur | sometimes watery and sour curd"
5,Primary Field Survey,Govinda Farms Cakes And Bakes,,7340660550.0,Mansarovar,Vaishali Nagar / Mansarovar,Supermarket / Modern trade,More than 10 years,"Yes, dedicated dairy refrigerator",Pooja Entreprises,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup)",No,"Yes, aware but not stocking",Company rep hasn't offered it,,,50–100 packs/week,"80g / 180g (small cup, single use), 400–500g (medium, family meal)","Pouch (cheaper), Cup/tub (convenient, resealable)",Amul_Masti Dahi,#1: Amul Masti Dahi,Increased slightly,Price,"Yes, often",,Amul Masti Dahi: 5–10%,Frubon,,Frubon,Anul,"Amul (Eye Level, Front Of Fridge)",Amul,"Yes, occasionally",Monthly,"Curd is too sour, Not thick enough, Water/whey separation in pouch",Too thin/watery compared to Masti Dahi,"Better margins, Consumer-facing offers/free trials",no_data,2026-04-09 13:31:21,Vaishali_Mansarovar,Supermarket,gt_10yrs,dedicated,aware_only,monthly,yes_occasionally,False,both,73406605500,False,1,1,1,2,2,4,2,1,3,0,75,4,7.0,"curd is too sour, not thick enough, water/whey separation in pouch",too thin/watery compared to masti dahi,"better margins, consumer-facing offers/free trials",no_data,company rep hasn't offered it,"curd is too sour, not thick enough, water/whey separation in pouch | too thin/watery compared to masti dahi | better margins, consumer-facing offers/free trials | company rep hasn't offered it"
6,Primary Field Survey,Ganapati Milk Point,,9024611447.0,Mansarovar,Vaishali Nagar / Mansarovar,Kiryana/General store,More than 10 years,"Yes, dedicated dairy refrigerator",Avdesh Parikh,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup), Amul Dahi Creamy & Tasty",Yes,"Yes, I stock it",,"80g Cup, 180g Cup",100–200 packs/week,20–50 packs/week,"80g / 180g (small cup, single use), 400–500g (medium, family meal)","Cup/tub (convenient, resealable)",Amul,"#1: Amul, #2: Amul Masti",Increased slightly,Price,"Yes, sometimes",,"Amul C&T: 80g=24%, 180g=30%, 850g=6.8% | Masti: 5–10%",Saras,"Mother_Dairy, Frubon",Saras,Amul,"Amul (Eye Level, Front Of Fridge)",Amul,"Yes, occasionally",Monthly,"Not thick enough, Water/whey separation in pouch","Some like it, some don't, some prefer thin watery curd, some prefer thick","Better margins, Consumer-facing offers/free trials",no_data,2026-04-10 09:40:17,Vaishali_Mansarovar,Kiryana,gt_10yrs,dedicated,stocking,monthly,yes_occasionally,True,cup,90246114470,False,1,1,3,2,2,4,2,1,0,150,35,4,9.33,"not thick enough, water/whey separation in pouch","some like it, some don't, some prefer thin watery curd, some prefer thick","better margins, consumer-facing offers/free trials",no_data,no_data,"not thick enough, water/whey separation in pouch | some like it, some don't, some prefer thin watery curd, some prefer thick | better margins, consumer-facing offers/free trials"
7,Primary Field Survey,Laziz Bakers,,8955784975.0,Sanganer Airport Road,Malviya Nagar / Jagatpura / Sanganer,Kiryana/General store,More than 10 years,"Yes, dedicated dairy refrigerator",Suresh Sales,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup), FruBon Dahi",No,"Yes, aware but not stocking","Company rep hasn't offered it, No demand from customers",,,50–100 packs/week,"80g / 180g (small cup, single use), 400–500g (medium, family meal)","Cup/tub (convenient, resealable)",Amul,"#1: Amul, #2: Amul Masti",Increased slightly,"Thickness/texture preference, Familiarity/habit, Local pride in Saras","Yes, often",No,Amul Masti Dahi: 5–10%,Frubon,,Frubon,Amul,"Amul (Eye Level, Front Of Fridge)",Amul,"No, never",Monthly,"Curd is too sour, Not thick enough","No, don't stock it","Fresher stock with longer remaining shelf life, Other (specify)","Older stock gets delivered to retailers, this needs to change.",2026-04-10 11:01:21,Malviya_Sanganer,Kiryana,gt_10yrs,dedicated,aware_only,monthly,never,False,cup,89557849750,False,1,1,1,2,0,2,2,1,3,0,75,4,6.33,"curd is too sour, not thick enough","no, don't stock it","fresher stock with longer remaining shelf life, other (specify)","older stock gets delivered to retailers, this needs to change.","company rep hasn't offered it, no demand from customers","curd is too sour, not thick enough | no, don't stock it | fresher stock with longer remaining shelf life, other (specify) | older stock gets delivered to retailers, this needs to change. | company rep hasn't offered it, no demand from customers"
8,Primary Field Survey,Vijay Departmental Store,,8949321113.0,Pratap Nagar,Malviya Nagar / Jagatpura / Sanganer,Kiryana/General store,More than 10 years,"Yes, dedicated dairy refrigerator",Rishita Enterprises,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup), Amul Dahi Creamy & Tasty, FruBon Dahi",Yes,"Yes, I stock it",,"80g Cup, 180g Cup, 850g Pouch",100–200 packs/week,100–200 packs/week,"80g / 180g (small cup, single use), 850g (large family pack)",Pouch (cheaper),Amul,"#1: Amul, #2: Amul Masti",Increased slightly,"Thickness/texture preference, Familiarity/habit","Yes, often",Saras Dahi,"Amul C&T: 80g=24%, 180g=30%, 850g=6.8% | Masti: 5–10%","Mother_Dairy, Frubon","Nobody, Not For Milk And Dahi, Only For Icecreams",Saras,Amul,"Amul (Eye Level, Front Of Fridge)",Amul,"No, never",Weekly,"Not thick enough, Water/whey separation in pouch","Texture is creamy, customers appreciate it","Consumer-facing offers/free trials, More advertising in Jaipur, Fresher stock with longer remaining shelf life","Older stock sometimes delivered, some offers or discounts or gifts to retailers from Amul would be nice",2026-04-10 11:23:50,Malviya_Sanganer,Kiryana,gt_10yrs,dedicated,stocking,weekly,never,True,pouch,89493211130,False,1,1,3,4,0,4,2,1,2,150,150,4,9.33,"not thick enough, water/whey separation in pouch","texture is creamy, customers appreciate it","consumer-facing offers/free trials, more advertising in jaipur, fresher stock with longer remaining shelf life","older stock sometimes delivered, some offers or discounts or gifts to retailers from amul would be nice",no_data,"not thick enough, water/whey separation in pouch | texture is creamy, customers appreciate it | consumer-facing offers/free trials, more advertising in jaipur, fresher stock with longer remaining shelf life | older stock sometimes delivered, some offers or discounts or gifts to retailers from amul would be nice"
9,Primary Field Survey,Shriram Departmental Store,,9782311745.0,Pratap Nagar,Malviya Nagar / Jagatpura / Sanganer,Kiryana/General store,More than 10 years,"Yes, dedicated dairy refrigerator",Rishit Enterprises,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup)",No,"Yes, aware but not stocking",No customer demand/enquiry,,,100–200 packs/week,"80g / 180g (small cup, single use), 400–500g (medium, family meal)","Cup/tub (convenient, resealable)",Amul,"#1: Amul, #2: Amul Masti",Increased slightly,"Familiarity/habit, Local pride in Saras","Yes, often",Saras Dahi,Amul Masti Dahi: 5–10%,"Mother_Dairy, Frubon, Lotus",,Frubon,Amul,"Amul (Eye Level, Front Of Fridge)",Amul,"No, never",Monthly,"Curd is too sour, Not thick enough, Water/whey separation in pouch",Very thin,"Better margins, Consumer-facing offers/free trials, More advertising in Jaipur",Retailer promotions and offers from Amul needed,2026-04-10 11:42:57,Malviya_Sanganer,Kiryana,gt_10yrs,dedicated,aware_only,monthly,never,False,cup,97823117450,False,1,1,1,2,0,2,2,1,3,0,150,4,6.33,"curd is too sour, not thick enough, water/whey separation in pouch",very thin,"better margins, consumer-facing offers/free trials, more advertising in jaipur",retailer promotions and offers from amul needed,no customer demand/enquiry,"curd is too sour, not thick enough, water/whey separation in pouch | very thin | better margins, consumer-facing offers/free trials, more advertising in jaipur | retailer promotions and offers from amul needed | no customer demand/enquiry"
10,Primary Field Survey,Dahiya General Store,,8059650221.0,Pratap Nagar,Malviya Nagar / Jagatpura / Sanganer,Kiryana/General store,Less than 2 years,"Yes, dedicated dairy refrigerator",Rishit Enterprises,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup)",No,"Yes, aware but not stocking",No customer demand/enquiry,,,20–50 packs/week,"80g / 180g (small cup, single use), 400–500g (medium, family meal)","Cup/tub (convenient, resealable)",Amul_Masti,#1: Amul Masti Dahi,Increased slightly,Price,"Yes, often",Saras,Amul Masti Dahi: 5–10%,"Mother_Dairy, Frubon",Saras Booth/Display,Frubon,Amul,"Amul (Eye Level, Front Of Fridge)",Amul,"No, never",Monthly,No complaints generally,No awareness among customers,"Better margins, Fresher stock with longer remaining shelf life",Better margin and more availability and timely delivery of stock is needed,2026-04-10 12:04:38,Malviya_Sanganer,Kiryana,lt_2yrs,dedicated,aware_only,monthly,never,False,cup,80596502210,False,1,1,1,2,0,2,2,1,3,0,35,1,5.21,no complaints generally,no awareness among customers,"better margins, fresher stock with longer remaining shelf life",better margin and more availability and timely delivery of stock is needed,no customer demand/enquiry,"no complaints generally | no awareness among customers | better margins, fresher stock with longer remaining shelf life | better margin and more availability and timely delivery of stock is needed | no customer demand/enquiry"
